company_code,invoice_date,sales_order_id,customer_id,amount
US001,2021-03-30,1,SQJ406,49170.0000
US001,2021-03-27,2,YOH723,25080.0000
US001,2021-03-22,4,LWA945,9240.0000
US001,2021-03-07,7,KBB179,37950.0000
US001,2021-03-01,8,TBJ040,4290.0000
US001,2021-03-24,9,QNK180,54780.0000
US001,2021-03-02,10,ARL766,4730.0000
US001,2021-03-08,12,KRR384,57090.0000
US001,2021-03-05,13,HPV633,8580.0000
US001,2021-03-17,20,JKW415,47080.0000
US001,2021-03-21,21,DIB984,13200.0000
US001,2021-03-25,23,RYB056,5280.0000
US001,2021-03-29,24,XFE936,7040.0000
US001,2021-03-28,25,HKV008,24530.0000
US001,2021-03-11,27,EYR753,29040.0000
US001,2021-03-09,29,CFR909,22000.0000
US001,2021-03-04,33,ZDQ768,18150.0000
US001,2021-03-27,35,YJN340,19800.0000
US001,2021-03-12,36,OYD706,7700.0000
US001,2021-03-13,37,WAI400,27610.0000
US001,2021-03-20,39,CBX416,23100.0000
US001,2021-03-24,40,QXK099,11880.0000
US001,2021-03-07,42,DFK040,48290.0000
US001,2021-03-13,43,OGF640,43890.0000
US001,2021-03-08,46,GDS612,57420.0000
US001,2021-03-26,49,EFV807,19800.0000
US001,2021-03-17,51,DKU315,17600.0000
US001,2021-03-13,52,BAL665,32560.0000
US001,2021-03-26,54,UHU403,45650.0000
US001,2021-03-30,56,FEZ435,42900.0000
US001,2021-03-08,57,CEL969,24750.0000
US001,2021-03-07,58,ZXU155,12210.0000
US001,2021-03-01,60,BUJ010,46860.0000
US001,2021-03-10,61,ZOB279,770.0000
US001,2021-03-02,62,MKS203,36410.0000
US001,2021-03-04,64,ECU425,14850.0000
US001,2021-03-04,67,VVQ943,1650.0000
US001,2021-03-28,68,OWG625,220.0000
US001,2021-03-18,69,ZKS279,15510.0000
US001,2021-03-06,70,HWN139,39380.0000
US001,2021-03-15,71,WQX461,38170.0000
US001,2021-03-11,72,HRV410,24640.0000
US001,2021-03-19,73,MJH385,15840.0000
US001,2021-03-16,74,FBY620,13200.0000
US001,2021-03-03,77,IZF355,9130.0000
US001,2021-03-23,81,CUJ670,1320.0000
US001,2021-03-09,82,XQW736,23540.0000
US001,2021-03-18,83,CVQ026,42900.0000
US001,2021-03-17,84,PHE136,38280.0000
US001,2021-03-06,86,BZD359,18370.0000
US001,2021-03-25,87,TNJ449,21450.0000
US001,2021-03-24,89,OPB509,28490.0000
US001,2021-03-09,90,UKU819,14850.0000
US001,2021-03-16,91,YDH443,29040.0000
US001,2021-03-01,92,XGX363,1320.0000
US001,2021-03-15,95,UEU642,19800.0000
US001,2021-03-21,96,CFK112,33000.0000
US001,2021-03-23,97,QOZ698,22330.0000
US001,2021-03-17,99,QYP780,40920.0000
US001,2021-03-30,103,CTC681,18810.0000
US001,2021-03-20,105,NFP880,20130.0000
US001,2021-03-06,106,CFD413,440.0000
US001,2021-03-19,108,DCB449,23980.0000
US001,2021-03-14,110,JQT884,26400.0000
US001,2021-03-07,112,WXA287,39270.0000
US001,2021-03-30,116,DJC731,12650.0000
US001,2021-03-24,117,AZU617,31240.0000
US001,2021-03-01,118,USB475,51370.0000
US001,2021-03-29,120,UKU819,32670.0000
US001,2021-03-23,121,HLS218,11330.0000
US001,2021-03-12,122,XNW391,33000.0000
US001,2021-03-15,123,JNF518,19800.0000
US001,2021-03-29,124,CJQ593,6270.0000
US001,2021-03-25,125,WFA487,26400.0000
US001,2021-03-14,126,SXK890,26400.0000
US001,2021-03-24,128,KYF223,9900.0000
US001,2021-03-18,131,QNS279,15180.0000
US001,2021-03-25,132,LLL032,26400.0000
US001,2021-03-14,134,TAT855,19800.0000
US001,2021-03-20,137,GDJ238,14850.0000
US001,2021-03-04,139,QGR341,18260.0000
US001,2021-03-05,140,TQC744,3960.0000
US001,2021-03-26,141,FAY977,3630.0000
US001,2021-03-01,142,WAI400,6600.0000
US001,2021-03-20,144,ESG959,18150.0000
US001,2021-03-06,145,LYA734,40370.0000
US001,2021-03-25,146,GYO187,13200.0000
US001,2021-03-01,147,GLA315,18590.0000
US001,2021-03-11,149,ZVB886,38830.0000
US001,2021-03-08,155,FPD107,16830.0000
US001,2021-03-19,158,RJI102,60610.0000
US001,2021-03-27,159,JKW415,22440.0000
US001,2021-03-07,161,IOM925,7920.0000
