company_code,s_order_date,sales_order_id,invoice_id,product_id,area,customer_id,amount,tax_amount,cc_id
US001,2021-03-20,1,1,4,OY,LGQ881,2000,200.0,POY04
US001,2021-03-09,2,2,5,SE,BGR745,15600,1560.0,SSE03
US001,2021-03-24,3,3,4,OY,WOJ691,900,90.0,POY04
US001,2021-03-24,3,3,3,OY,WOJ691,18000,1800.0,POY02
US001,2021-03-26,5,4,5,SE,MLT599,3600,360.0,SSE03
US001,2021-03-26,5,4,4,SE,MLT599,200,20.0,PSE04
US001,2021-03-26,5,4,3,SE,MLT599,18000,1800.0,PSE02
US001,2021-03-23,6,5,5,SE,AWI255,7200,720.0,SSE03
US001,2021-03-23,6,5,4,SE,AWI255,1200,120.0,PSE04
US001,2021-03-24,8,6,5,SE,JNU910,25200,2520.0,SSE03
US001,2021-03-24,8,6,4,SE,JNU910,600,60.0,PSE04
US001,2021-03-24,8,6,3,SE,JNU910,7500,750.0,PSE02
US001,2021-03-21,9,7,5,OY,UEA409,14400,1440.0,SOY03
US001,2021-03-21,9,7,4,OY,UEA409,300,30.0,POY04
US001,2021-03-21,9,7,3,OY,UEA409,30000,3000.0,POY02
US001,2021-03-01,12,8,5,KG,EEM837,21600,2160.0,SKG03
US001,2021-03-01,12,8,4,KG,EEM837,1400,140.0,PKG04
US001,2021-03-01,12,8,3,KG,EEM837,16500,1650.0,PKG02
US001,2021-03-15,14,9,5,SE,YCW789,7200,720.0,SSE03
US001,2021-03-15,14,9,3,SE,YCW789,6000,600.0,PSE02
US001,2021-03-25,15,10,5,OY,RNQ912,10800,1080.0,SOY03
US001,2021-03-25,15,10,3,OY,RNQ912,21000,2100.0,POY02
US001,2021-03-08,16,11,5,OY,UQV907,6000,600.0,SOY03
US001,2021-03-08,16,11,3,OY,UQV907,27000,2700.0,POY02
US001,2021-03-02,18,12,5,KG,EMH765,2400,240.0,SKG03
US001,2021-03-02,18,12,4,KG,EMH765,1900,190.0,PKG04
US001,2021-03-29,19,13,4,SE,RQG258,1800,180.0,PSE04
US001,2021-03-29,19,13,3,SE,RQG258,13500,1350.0,PSE02
US001,2021-03-18,27,14,5,SE,UZS780,3600,360.0,SSE03
US001,2021-03-18,27,14,4,SE,UZS780,2000,200.0,PSE04
US001,2021-03-18,27,14,3,SE,UZS780,13500,1350.0,PSE02
US001,2021-03-04,28,15,5,OY,QOG731,12000,1200.0,SOY03
US001,2021-03-04,28,15,3,OY,QOG731,30000,3000.0,POY02
US001,2021-03-19,29,16,5,SP,QTK822,24000,2400.0,SSP03
US001,2021-03-19,29,16,4,SP,QTK822,1300,130.0,PSP04
US001,2021-03-19,29,16,3,SP,QTK822,27000,2700.0,PSP02
US001,2021-03-01,31,17,5,SP,XVR799,12000,1200.0,SSP03
US001,2021-03-01,31,17,3,SP,XVR799,12000,1200.0,PSP02
US001,2021-03-09,35,18,3,SE,HYA214,21000,2100.0,PSE02
US001,2021-03-25,42,19,4,OY,HTJ819,1200,120.0,POY04
US001,2021-03-25,42,19,3,OY,HTJ819,1500,150.0,POY02
US001,2021-03-26,43,20,5,KG,VIL545,6000,600.0,SKG03
US001,2021-03-26,43,20,4,KG,VIL545,1000,100.0,PKG04
US001,2021-03-26,43,20,3,KG,VIL545,18000,1800.0,PKG02
US001,2021-03-03,44,21,4,SE,PAU996,1500,150.0,PSE04
US001,2021-03-03,44,21,3,SE,PAU996,15000,1500.0,PSE02
US001,2021-03-05,45,22,3,SP,YPY210,24000,2400.0,PSP02
US001,2021-03-20,47,23,5,SE,WRQ011,14400,1440.0,SSE03
US001,2021-03-20,47,23,4,SE,WRQ011,1100,110.0,PSE04
US001,2021-03-20,47,23,3,SE,WRQ011,27000,2700.0,PSE02
US001,2021-03-01,51,24,5,OY,GBK124,13200,1320.0,SOY03
US001,2021-03-01,51,24,4,OY,GBK124,1700,170.0,POY04
US001,2021-03-01,51,24,3,OY,GBK124,15000,1500.0,POY02
US001,2021-03-07,54,25,5,SP,KQX053,24000,2400.0,SSP03
US001,2021-03-07,54,25,3,SP,KQX053,15000,1500.0,PSP02
US001,2021-03-25,55,26,3,SE,GXX564,12000,1200.0,PSE02
US001,2021-03-06,57,27,5,SE,HLS218,7200,720.0,SSE03
US001,2021-03-06,57,27,3,SE,HLS218,1500,150.0,PSE02
US001,2021-03-28,58,28,5,SE,YGB392,4800,480.0,SSE03
US001,2021-03-28,58,28,3,SE,YGB392,7500,750.0,PSE02
US001,2021-03-06,59,29,5,OY,ZBX027,25200,2520.0,SOY03
US001,2021-03-06,59,29,4,OY,ZBX027,1900,190.0,POY04
US001,2021-03-11,61,30,5,SE,ECC013,6000,600.0,SSE03
US001,2021-03-29,64,31,4,OY,GDL720,400,40.0,POY04
US001,2021-03-29,71,32,5,SE,DHJ493,3600,360.0,SSE03
US001,2021-03-29,71,32,4,SE,DHJ493,700,70.0,PSE04
US001,2021-03-29,71,32,3,SE,DHJ493,6000,600.0,PSE02
US001,2021-03-13,72,33,3,SE,KRM954,28500,2850.0,PSE02
US001,2021-03-12,75,34,5,SE,BQT801,6000,600.0,SSE03
US001,2021-03-12,75,34,4,SE,BQT801,1100,110.0,PSE04
US001,2021-03-12,75,34,3,SE,BQT801,3000,300.0,PSE02
US001,2021-03-30,78,35,5,OY,NHG535,16800,1680.0,SOY03
US001,2021-03-30,78,35,4,OY,NHG535,1600,160.0,POY04
US001,2021-03-30,78,35,3,OY,NHG535,19500,1950.0,POY02
US001,2021-03-05,79,36,4,SE,FCD595,1300,130.0,PSE04
US001,2021-03-09,80,37,5,OY,AVK220,1200,120.0,SOY03
US001,2021-03-09,80,37,4,OY,AVK220,1500,150.0,POY04
US001,2021-03-11,82,38,4,OY,BOU297,1100,110.0,POY04
US001,2021-03-11,82,38,3,OY,BOU297,12000,1200.0,POY02
US001,2021-03-10,83,39,4,KG,FLN094,1300,130.0,PKG04
US001,2021-03-27,84,40,5,OY,FAP787,10800,1080.0,SOY03
US001,2021-03-27,84,40,4,OY,FAP787,1000,100.0,POY04
US001,2021-03-27,84,40,3,OY,FAP787,22500,2250.0,POY02
US001,2021-03-23,90,41,5,OY,QIN423,10800,1080.0,SOY03
US001,2021-03-23,90,41,4,OY,QIN423,100,10.0,POY04
US001,2021-03-23,90,41,3,OY,QIN423,24000,2400.0,POY02
US001,2021-03-11,91,42,4,OY,GIG643,1900,190.0,POY04
US001,2021-03-03,92,43,4,SE,JZD267,2000,200.0,PSE04
US001,2021-03-10,93,44,3,SE,BUA683,28500,2850.0,PSE02
US001,2021-03-27,95,45,5,SE,BDY790,20400,2040.0,SSE03
US001,2021-03-27,95,45,4,SE,BDY790,100,10.0,PSE04
US001,2021-03-27,95,45,3,SE,BDY790,27000,2700.0,PSE02
US001,2021-03-11,99,46,5,SE,NLB166,4800,480.0,SSE03
US001,2021-03-11,99,46,4,SE,NLB166,1900,190.0,PSE04
US001,2021-03-11,99,46,3,SE,NLB166,10500,1050.0,PSE02
US001,2021-03-06,100,47,5,SP,LUO217,18000,1800.0,SSP03
US001,2021-03-06,100,47,4,SP,LUO217,1200,120.0,PSP04
US001,2021-03-16,101,48,4,OY,XDY227,900,90.0,POY04
US001,2021-03-16,101,48,3,OY,XDY227,25500,2550.0,POY02
US001,2021-03-23,103,49,5,SE,LGU137,22800,2280.0,SSE03
US001,2021-03-02,105,50,5,SE,EZM056,6000,600.0,SSE03
US001,2021-03-02,105,50,4,SE,EZM056,600,60.0,PSE04
US001,2021-03-28,110,51,3,SE,ISS759,28500,2850.0,PSE02
US001,2021-03-01,120,52,5,SE,BNL970,9600,960.0,SSE03
US001,2021-03-01,120,52,4,SE,BNL970,1300,130.0,PSE04
US001,2021-03-01,120,52,3,SE,BNL970,24000,2400.0,PSE02
US001,2021-03-15,121,53,4,OY,MWQ267,900,90.0,POY04
US001,2021-03-15,121,53,3,OY,MWQ267,24000,2400.0,POY02
US001,2021-03-23,123,54,5,SE,PFA586,2400,240.0,SSE03
US001,2021-03-23,123,54,4,SE,PFA586,2100,210.0,PSE04
US001,2021-03-23,123,54,3,SE,PFA586,9000,900.0,PSE02
US001,2021-03-25,128,55,5,SP,VNL516,13200,1320.0,SSP03
US001,2021-03-08,129,56,5,OY,XUQ735,10800,1080.0,SOY03
US001,2021-03-08,129,56,4,OY,XUQ735,700,70.0,POY04
US001,2021-03-30,130,57,4,SE,ONG483,1200,120.0,PSE04
US001,2021-03-30,130,57,3,SE,ONG483,16500,1650.0,PSE02
US001,2021-03-27,131,58,5,SP,VMJ933,14400,1440.0,SSP03
US001,2021-03-17,134,59,5,SP,LQY500,16800,1680.0,SSP03
US001,2021-03-17,134,59,4,SP,LQY500,1800,180.0,PSP04
US001,2021-03-09,138,60,4,SE,MXK164,100,10.0,PSE04
US001,2021-03-15,140,61,5,OY,GWR299,7200,720.0,SOY03
US001,2021-03-15,140,61,3,OY,GWR299,31500,3150.0,POY02
US001,2021-03-26,145,62,5,KG,LFQ518,7200,720.0,SKG03
US001,2021-03-26,145,62,4,KG,LFQ518,200,20.0,PKG04
US001,2021-03-28,147,63,5,SE,YAK536,24000,2400.0,SSE03
US001,2021-03-02,149,64,5,SE,LJZ387,25200,2520.0,SSE03
US001,2021-03-03,151,65,5,SE,NCJ102,9600,960.0,SSE03
US001,2021-03-03,151,65,4,SE,NCJ102,900,90.0,PSE04
US001,2021-03-03,151,65,3,SE,NCJ102,3000,300.0,PSE02
US001,2021-03-11,153,66,3,SE,XWZ665,18000,1800.0,PSE02
US001,2021-03-17,154,67,4,OY,UOO512,1200,120.0,POY04
US001,2021-03-11,159,68,3,OY,ROG095,22500,2250.0,POY02
US001,2021-03-09,160,69,5,SP,DMD170,25200,2520.0,SSP03
US001,2021-03-09,160,69,4,SP,DMD170,500,50.0,PSP04
US001,2021-03-09,160,69,3,SP,DMD170,21000,2100.0,PSP02
US001,2021-03-30,161,70,5,SE,PIJ219,2400,240.0,SSE03
