company_code,sales_order_id,product_id,units,unit_selling_price,currency_id,tax_code,shipped
US001,238,3,3,1500,1,1,yes
US001,238,4,2,100,1,1,yes
US001,78,5,36,1200,1,1,yes
US001,201,3,18,1500,1,1,yes
US001,201,6,97,500,1,1,yes
US001,703,1,1,250000,1,1,yes
US001,703,2,1,3000000,1,1,yes
US001,703,4,14,100,1,1,yes
US001,703,6,211,500,1,1,yes
US001,182,3,11,1500,1,1,yes
US001,182,4,22,100,1,1,yes
US001,394,3,8,1500,1,1,yes
US001,394,4,17,100,1,1,yes
US001,394,5,3,1200,1,1,yes
US001,394,6,99,500,1,1,yes
US001,19,3,10,1500,1,1,yes
US001,19,4,8,100,1,1,yes
US001,19,6,128,500,1,1,no
US001,232,1,1,250000,1,1,yes
US001,232,2,1,3000000,1,1,yes
US001,618,6,142,500,1,1,yes
US001,397,5,27,1200,1,1,yes
US001,372,3,4,1500,1,1,yes
US001,372,4,23,100,1,1,yes
US001,673,3,4,1500,1,1,yes
US001,673,4,9,100,1,1,yes
US001,359,5,25,1200,1,1,yes
US001,435,1,1,250000,1,1,yes
US001,435,2,1,3000000,1,1,yes
US001,435,4,28,100,1,1,yes
US001,637,4,13,100,1,1,yes
US001,243,3,12,1500,1,1,yes
US001,243,4,11,100,1,1,yes
US001,591,6,22,500,1,1,yes
US001,162,3,4,1500,1,1,yes
US001,162,5,7,1200,1,1,yes
US001,476,6,38,500,1,1,yes
US001,202,3,14,1500,1,1,yes
US001,159,3,8,1500,1,1,yes
US001,159,6,127,500,1,1,yes
US001,493,3,13,1500,1,1,yes
US001,493,4,12,100,1,1,yes
US001,493,5,2,1200,1,1,yes
US001,493,6,223,500,1,1,yes
US001,236,3,1,1500,1,1,yes
US001,712,3,18,1500,1,1,yes
US001,712,5,24,1200,1,1,yes
US001,111,5,25,1200,1,1,yes
US001,71,4,13,100,1,1,yes
US001,194,3,13,1500,1,1,yes
US001,194,4,12,100,1,1,yes
US001,194,5,19,1200,1,1,yes
US001,596,5,34,1200,1,1,yes
US001,314,3,10,1500,1,1,yes
US001,95,6,47,500,1,1,yes
US001,217,3,1,1500,1,1,yes
US001,217,5,12,1200,1,1,yes
US001,164,3,15,1500,1,1,yes
US001,164,4,7,100,1,1,yes
US001,548,3,18,1500,1,1,yes
US001,548,4,4,100,1,1,yes
US001,32,3,7,1500,1,1,yes
US001,32,4,12,100,1,1,yes
US001,475,3,7,1500,1,1,yes
US001,475,4,28,100,1,1,yes
US001,94,2,1,3000000,1,1,yes
US001,94,4,12,100,1,1,yes
US001,94,5,3,1200,1,1,yes
US001,94,6,123,500,1,1,yes
US001,239,5,14,1200,1,1,yes
US001,301,3,6,1500,1,1,yes
US001,301,5,27,1200,1,1,yes
US001,48,3,2,1500,1,1,yes
US001,631,5,32,1200,1,1,yes
US001,388,1,1,250000,1,1,yes
US001,388,2,1,3000000,1,1,yes
US001,388,4,15,100,1,1,yes
US001,388,5,19,1200,1,1,yes
US001,388,6,136,500,1,1,yes
US001,279,3,16,1500,1,1,yes
US001,279,4,16,100,1,1,yes
US001,492,4,29,100,1,1,yes
US001,40,3,4,1500,1,1,yes
US001,40,4,8,100,1,1,yes
US001,40,5,34,1200,1,1,yes
US001,40,6,289,500,1,1,yes
US001,709,3,7,1500,1,1,yes
US001,709,5,38,1200,1,1,yes
US001,45,5,31,1200,1,1,yes
US001,433,5,33,1200,1,1,yes
US001,718,3,11,1500,1,1,yes
US001,718,4,15,100,1,1,yes
US001,718,6,135,500,1,1,yes
US001,513,2,1,3000000,1,1,yes
US001,513,4,12,100,1,1,yes
