company_code,rie_id,general_ledger_number,cc_id,currency_id,debit_credit,amount
US001,1,501001,POY04,1,credit,2000.0
US001,2,501001,SSE03,1,credit,15600.0
US001,3,501001,POY04,1,credit,900.0
US001,3,501001,POY02,1,credit,18000.0
US001,4,501001,SSE03,1,credit,3600.0
US001,4,501001,PSE04,1,credit,200.0
US001,4,501001,PSE02,1,credit,18000.0
US001,5,501001,SSE03,1,credit,7200.0
US001,5,501001,PSE04,1,credit,1200.0
US001,6,501001,SSE03,1,credit,25200.0
US001,6,501001,PSE04,1,credit,600.0
US001,6,501001,PSE02,1,credit,7500.0
US001,7,501001,SOY03,1,credit,14400.0
US001,7,501001,POY04,1,credit,300.0
US001,7,501001,POY02,1,credit,30000.0
US001,8,501001,SKG03,1,credit,21600.0
US001,8,501001,PKG04,1,credit,1400.0
US001,8,501001,PKG02,1,credit,16500.0
US001,9,501001,SSE03,1,credit,7200.0
US001,9,501001,PSE02,1,credit,6000.0
US001,10,501001,SOY03,1,credit,10800.0
US001,10,501001,POY02,1,credit,21000.0
US001,11,501001,SOY03,1,credit,6000.0
US001,11,501001,POY02,1,credit,27000.0
US001,12,501001,SKG03,1,credit,2400.0
US001,12,501001,PKG04,1,credit,1900.0
US001,13,501001,PSE04,1,credit,1800.0
US001,13,501001,PSE02,1,credit,13500.0
US001,14,501001,SSE03,1,credit,3600.0
US001,14,501001,PSE04,1,credit,2000.0
US001,14,501001,PSE02,1,credit,13500.0
US001,15,501001,SOY03,1,credit,12000.0
US001,15,501001,POY02,1,credit,30000.0
US001,16,501001,SSP03,1,credit,24000.0
US001,16,501001,PSP04,1,credit,1300.0
US001,16,501001,PSP02,1,credit,27000.0
US001,17,501001,SSP03,1,credit,12000.0
US001,17,501001,PSP02,1,credit,12000.0
US001,18,501001,PSE02,1,credit,21000.0
US001,19,501001,POY04,1,credit,1200.0
US001,19,501001,POY02,1,credit,1500.0
US001,20,501001,SKG03,1,credit,6000.0
US001,20,501001,PKG04,1,credit,1000.0
US001,20,501001,PKG02,1,credit,18000.0
US001,21,501001,PSE04,1,credit,1500.0
US001,21,501001,PSE02,1,credit,15000.0
US001,22,501001,PSP02,1,credit,24000.0
US001,23,501001,SSE03,1,credit,14400.0
US001,23,501001,PSE04,1,credit,1100.0
US001,23,501001,PSE02,1,credit,27000.0
US001,24,501001,SOY03,1,credit,13200.0
US001,24,501001,POY04,1,credit,1700.0
US001,24,501001,POY02,1,credit,15000.0
US001,25,501001,SSP03,1,credit,24000.0
US001,25,501001,PSP02,1,credit,15000.0
US001,26,501001,PSE02,1,credit,12000.0
US001,27,501001,SSE03,1,credit,7200.0
US001,27,501001,PSE02,1,credit,1500.0
US001,28,501001,SSE03,1,credit,4800.0
US001,28,501001,PSE02,1,credit,7500.0
US001,29,501001,SOY03,1,credit,25200.0
US001,29,501001,POY04,1,credit,1900.0
US001,30,501001,SSE03,1,credit,6000.0
US001,31,501001,POY04,1,credit,400.0
US001,32,501001,SSE03,1,credit,3600.0
US001,32,501001,PSE04,1,credit,700.0
US001,32,501001,PSE02,1,credit,6000.0
US001,33,501001,PSE02,1,credit,28500.0
US001,34,501001,SSE03,1,credit,6000.0
US001,34,501001,PSE04,1,credit,1100.0
US001,34,501001,PSE02,1,credit,3000.0
US001,35,501001,SOY03,1,credit,16800.0
US001,35,501001,POY04,1,credit,1600.0
US001,35,501001,POY02,1,credit,19500.0
US001,36,501001,PSE04,1,credit,1300.0
US001,37,501001,SOY03,1,credit,1200.0
US001,37,501001,POY04,1,credit,1500.0
US001,38,501001,POY04,1,credit,1100.0
US001,38,501001,POY02,1,credit,12000.0
US001,39,501001,PKG04,1,credit,1300.0
US001,40,501001,SOY03,1,credit,10800.0
US001,40,501001,POY04,1,credit,1000.0
US001,40,501001,POY02,1,credit,22500.0
US001,41,501001,SOY03,1,credit,10800.0
US001,41,501001,POY04,1,credit,100.0
US001,41,501001,POY02,1,credit,24000.0
US001,42,501001,POY04,1,credit,1900.0
US001,43,501001,PSE04,1,credit,2000.0
US001,44,501001,PSE02,1,credit,28500.0
US001,45,501001,SSE03,1,credit,20400.0
US001,45,501001,PSE04,1,credit,100.0
US001,45,501001,PSE02,1,credit,27000.0
US001,46,501001,SSE03,1,credit,4800.0
US001,46,501001,PSE04,1,credit,1900.0
US001,46,501001,PSE02,1,credit,10500.0
US001,47,501001,SSP03,1,credit,18000.0
US001,47,501001,PSP04,1,credit,1200.0
US001,48,501001,POY04,1,credit,900.0
US001,48,501001,POY02,1,credit,25500.0
US001,49,501001,SSE03,1,credit,22800.0
US001,50,501001,SSE03,1,credit,6000.0
US001,50,501001,PSE04,1,credit,600.0
US001,51,501001,PSE02,1,credit,28500.0
US001,52,501001,SSE03,1,credit,9600.0
US001,52,501001,PSE04,1,credit,1300.0
US001,52,501001,PSE02,1,credit,24000.0
US001,53,501001,POY04,1,credit,900.0
US001,53,501001,POY02,1,credit,24000.0
US001,54,501001,SSE03,1,credit,2400.0
