company_code,employee_id,grade_code,currency_id,salary
US001,LD822,2,1,50411
US001,BC980,2,1,38370
US001,AU885,2,1,54306
US001,PR429,2,1,41748
US001,JJ627,3,1,27368
US001,KZ425,3,1,10950
US001,AQ769,3,1,25257
US001,VO747,2,1,55426
US001,ZV844,2,1,38160
US001,WJ557,2,1,51265
US001,QF059,3,1,11699
US001,KW393,3,1,15139
US001,KC112,2,1,33709
US001,LP312,3,1,22182
US001,PD078,2,1,45370
US001,QB797,3,1,18079
US001,FC046,3,1,22476
US001,WM525,2,1,47817
US001,JC053,2,1,33341
US001,FU687,3,1,28806
US001,JS356,2,1,38170
US001,OR126,2,1,30429
US001,HU659,2,1,53959
US001,WN188,2,1,37101
US001,QD302,3,1,23374
US001,UY264,2,1,39158
US001,ON374,3,1,15966
US001,TV090,3,1,22761
US001,KR198,3,1,15229
US001,JU860,3,1,12357
US001,OX511,3,1,14547
US001,UM899,2,1,50248
US001,MD547,2,1,50232
US001,OT246,3,1,24576
US001,EP081,2,1,34151
US001,ZT535,2,1,34333
US001,UU193,3,1,10058
US001,JF602,2,1,58554
US001,MY068,3,1,10174
US001,EP910,3,1,16863
US001,GB927,2,1,55349
US001,ZE154,3,1,17060
US001,QL512,2,1,35434
US001,PI565,3,1,15455
US001,ZF167,2,1,39479
US001,TM856,2,1,40277
US001,WZ358,2,1,36517
US001,XU854,2,1,47669
US001,DH884,2,1,58708
US001,AH575,3,1,16710
US001,NW561,3,1,15952
US001,LQ840,3,1,16451
US001,AI624,3,1,22557
US001,EM055,3,1,19790
US001,RD787,2,1,30706
US001,IR095,2,1,41835
US001,AL042,2,1,43595
US001,ZT979,3,1,15438
US001,MY543,3,1,14774
US001,YN863,3,1,18644
US001,NB479,2,1,32134
US001,RP532,3,1,20874
US001,PY727,3,1,19874
US001,TM691,2,1,56784
US001,GD711,3,1,29762
US001,KS532,2,1,49206
US001,OW010,3,1,10110
US001,JH038,3,1,29529
US001,PA438,2,1,52214
US001,RC684,3,1,21072
US001,TG062,2,1,32163
US001,IF659,3,1,20156
US001,OF458,3,1,21644
US001,SE301,2,1,56821
US001,LG222,3,1,20029
US001,LN498,2,1,45753
US001,ET115,2,1,52820
US001,XK655,2,1,40347
US001,VR445,3,1,16054
US001,HX939,3,1,25768
US001,DA337,3,1,25484
US001,HX879,3,1,15771
US001,ME451,3,1,11867
US001,AX481,2,1,38394
US001,IY548,3,1,10749
US001,NE277,3,1,21719
US001,BM166,2,1,57685
US001,SK997,3,1,23247
US001,PL946,3,1,10592
US001,EN233,3,1,27991
US001,RN466,3,1,23724
US001,DU478,3,1,21999
US001,VU066,2,1,42332
US001,QI696,3,1,28956
US001,WM199,2,1,57565
US001,ZT783,2,1,30297
US001,MJ215,3,1,24838
US001,PJ793,3,1,11531
US001,BO735,3,1,15928
US001,FR974,3,1,16439
US001,YY914,3,1,13900
US001,SA679,3,1,18063
US001,PY297,3,1,25145
US001,AQ847,2,1,41284
US001,AS254,3,1,26793
US001,MM938,2,1,41625
US001,HN132,2,1,59252
US001,BH265,2,1,47193
US001,IW558,2,1,38221
US001,JG524,2,1,55414
US001,PY899,3,1,25166
US001,YF382,2,1,33540
US001,KZ111,2,1,49325
US001,KX432,2,1,54523
US001,ZE042,2,1,55591
US001,RS315,3,1,22035
US001,KI324,2,1,58170
US001,NN731,2,1,39694
US001,TR810,2,1,31200
US001,EN084,1,1,74187
US001,HM972,2,1,32987
US001,CQ830,2,1,36831
US001,QG837,2,1,41165
US001,RD184,3,1,26806
US001,DX209,2,1,50015
US001,JR157,2,1,41882
US001,EF447,3,1,14856
US001,CS475,3,1,21139
US001,GW695,2,1,39033
US001,ZR955,2,1,53023
US001,TB742,2,1,47863
US001,ZK675,2,1,33017
US001,TA747,2,1,40238
US001,ST604,2,1,52477
US001,WZ589,3,1,20380
US001,XV060,3,1,20032
US001,GJ996,3,1,15815
US001,UI444,2,1,56174
US001,ZN414,3,1,12562
US001,VA640,3,1,14878
US001,HB698,2,1,53630
US001,PI748,2,1,52582
US001,NF858,3,1,20135
US001,CL635,3,1,25852
US001,EG427,3,1,15292
US001,YH033,2,1,53597
US001,HA931,3,1,11590
US001,XB099,3,1,12652
US001,YE752,3,1,29682
US001,FZ915,3,1,27482
US001,TJ044,3,1,23300
US001,OI018,2,1,31042
US001,IK688,3,1,17777
US001,MJ759,2,1,54266
US001,RQ471,2,1,49462
US001,BY762,2,1,41266
US001,RC549,2,1,57076
US001,PY432,2,1,38198
US001,TF838,2,1,44931
US001,AL380,3,1,23820
US001,PP606,2,1,34771
US001,GR827,3,1,11825
US001,OI380,2,1,50916
US001,VR096,3,1,11072
US001,TR825,2,1,56268
US001,BG203,2,1,46173
US001,CV411,3,1,20950
US001,VA478,3,1,16784
US001,AA374,2,1,34278
US001,DA951,2,1,53975
US001,FC238,2,1,48482
US001,BP977,3,1,14350
US001,WW498,2,1,50656
US001,UI978,2,1,59376
US001,JN285,3,1,23560
US001,RZ319,2,1,33494
US001,NO374,2,1,35531
US001,AL276,2,1,44239
US001,BM679,3,1,22222
US001,MI203,3,1,14890
US001,LA095,3,1,11925
US001,HD144,3,1,23783
US001,UK521,2,1,39660
US001,QE528,2,1,34626
US001,BC089,3,1,24848
US001,TY581,2,1,50329
US001,EV037,3,1,15547
US001,IC815,2,1,47111
US001,JI150,2,1,44861
US001,ZR591,2,1,45995
US001,BJ186,3,1,20410
US001,BL635,2,1,45697
US001,DG635,3,1,18979
US001,XE619,3,1,19536
US001,HC796,2,1,45403
US001,YG394,3,1,23231
US001,UU233,2,1,59552
US001,WN234,3,1,14800
US001,CB858,3,1,13688
US001,UU347,2,1,42353
US001,GR072,3,1,27424
US001,EQ853,3,1,15878
US001,NC077,3,1,26361
US001,XR042,2,1,58436
US001,TO477,3,1,21091
US001,LU094,3,1,15902
US001,MT752,3,1,12920
US001,IT527,3,1,26117
US001,IK837,3,1,18923
US001,VY622,2,1,46881
US001,LX360,2,1,55625
US001,TC895,3,1,27960
US001,VM566,3,1,26476
US001,FB053,2,1,41839
US001,RP673,2,1,32067
US001,RC965,2,1,55756
US001,TC021,3,1,21655
US001,GY297,2,1,52760
US001,ZR876,3,1,29250
US001,EI931,2,1,51758
US001,LP599,3,1,11124
US001,OY777,2,1,54891
US001,ZP778,2,1,40017
US001,QR128,3,1,21908
US001,YN630,3,1,28327
US001,RU095,3,1,19202
US001,NE653,2,1,57368
US001,EH617,2,1,45914
US001,QT273,2,1,38678
US001,UA468,2,1,55223
US001,ZK981,2,1,52638
US001,GQ310,3,1,19628
US001,MG853,2,1,41143
US001,WX509,2,1,51289
US001,IS207,2,1,35853
US001,DC617,3,1,29027
US001,DT357,2,1,57912
US001,NT197,3,1,10379
US001,SB578,2,1,45541
US001,TO556,2,1,47923
US001,BR236,3,1,18214
US001,UC814,3,1,20679
US001,OM419,3,1,18968
US001,UJ223,3,1,25169
US001,DS735,3,1,19464
US001,KB320,3,1,26395
US001,VW382,2,1,51215
US001,IY504,3,1,21684
US001,VL355,3,1,21399
US001,KX333,3,1,18974
US001,YG858,2,1,51104
US001,IU381,2,1,41324
US001,NB463,3,1,23384
US001,XG876,3,1,21470
US001,QW064,2,1,57619
US001,ZZ037,3,1,15651
US001,TJ621,2,1,58505
US001,HU489,3,1,24738
US001,EY475,2,1,41936
US001,XW063,3,1,20955
US001,CS832,2,1,46978
US001,JH142,3,1,14648
US001,HN694,3,1,27345
US001,DV353,2,1,35445
US001,UF779,3,1,16509
US001,ZV692,2,1,57414
US001,TV050,3,1,21862
US001,TS048,3,1,25638
US001,PY921,3,1,19268
US001,IU671,3,1,12583
US001,ZK646,2,1,53582
US001,BL818,2,1,51982
US001,HH557,3,1,23652
US001,VM187,3,1,15630
US001,IN922,2,1,50210
US001,LQ264,2,1,55571
US001,BM955,2,1,49033
US001,TC038,2,1,46923
US001,LH861,3,1,23788
US001,PR441,3,1,19917
US001,MS733,2,1,50438
US001,YP699,2,1,48127
US001,RU301,3,1,18870
US001,EW314,2,1,53606
US001,XY281,3,1,10905
US001,KV892,3,1,16409
US001,PS377,3,1,15243
US001,HJ741,2,1,49216
US001,DC267,2,1,44452
US001,WO075,2,1,50449
US001,ZQ085,2,1,51303
US001,HO889,2,1,35922
US001,XA465,3,1,17177
US001,VC365,2,1,54870
US001,MF172,3,1,15915
US001,AQ228,3,1,11371
US001,IE339,3,1,25452
US001,GY652,3,1,17413
US001,DZ920,2,1,35431
US001,NV791,3,1,11774
US001,GX159,2,1,59222
US001,TU351,3,1,14375
US001,AT950,3,1,13631
US001,DE061,3,1,20398
US001,QT957,3,1,15948
US001,IW329,3,1,25815
US001,EO539,3,1,16336
US001,IU900,2,1,47967
US001,RV329,2,1,31168
US001,KT595,2,1,43614
US001,GE898,2,1,45247
US001,XR734,3,1,21504
US001,PY614,3,1,22461
US001,LL064,2,1,51709
US001,PF527,3,1,12358
US001,KJ605,3,1,29338
US001,LQ359,2,1,36696
US001,OU730,2,1,37793
US001,OG327,3,1,22255
US001,FU724,3,1,10021
US001,QQ858,3,1,21485
US001,WB382,2,1,43283
US001,WL573,3,1,19126
US001,MJ493,2,1,58044
US001,IA977,3,1,23436
US001,NT200,2,1,58390
US001,KR376,2,1,33770
US001,KZ032,2,1,52572
US001,UT297,3,1,27932
US001,EF050,3,1,22251
US001,WI817,2,1,31181
US001,NR558,2,1,48020
US001,RM359,3,1,19875
US001,AB601,2,1,33107
US001,XK497,3,1,19675
US001,CK618,3,1,27865
US001,RQ268,3,1,26798
US001,VV782,3,1,21120
US001,HP292,3,1,29034
US001,TC192,3,1,19607
US001,QI179,3,1,21521
US001,SJ777,2,1,56821
US001,OL949,2,1,34232
US001,JG926,3,1,23733
US001,TC800,3,1,23410
US001,OW238,3,1,28478
US001,JP096,3,1,27641
US001,CD613,3,1,22105
US001,ZH098,2,1,45318
US001,SC324,3,1,14656
US001,SW551,2,1,35137
US001,TA888,2,1,49527
US001,EU538,2,1,42541
US001,FY603,3,1,28476
US001,FC660,3,1,25631
US001,FK438,3,1,16525
US001,SM491,2,1,34357
US001,GI126,3,1,29942
US001,BW136,2,1,32976
US001,NZ674,2,1,41505
US001,KP468,2,1,56910
US001,XK832,2,1,59277
US001,TG852,3,1,10031
US001,RP054,2,1,42512
US001,WB877,1,1,63536
US001,TB396,3,1,20683
US001,JN251,3,1,28540
US001,NE690,2,1,50157
US001,VT708,2,1,47675
US001,PU175,2,1,34610
US001,YP377,2,1,40664
US001,PH790,3,1,28490
US001,MA928,2,1,42315
US001,ES868,3,1,24064
US001,CO251,2,1,44145
US001,UZ141,2,1,37416
US001,OX204,2,1,46168
US001,KB467,2,1,39551
US001,VE430,3,1,25714
US001,PU761,2,1,53209
US001,DI488,3,1,22444
US001,PB685,2,1,42579
US001,ZW002,3,1,15211
