"company_code","rie_id","description","customer_id","general_ledger_number","cc_id","currency_id","debit_credit","amount"
"US001",1,NULL,"LGQ881",501001,"POY04 ",1,"credit",2000.00
"US001",1,NULL,"LGQ881",203001,"POY04 ",1,"credit",200.00
"US001",1,NULL,"LGQ881",102001,NULL,1,"debit",2200.00
"US001",2,NULL,"BGR745",501001,"SSE05 ",1,"credit",15600.00
"US001",2,NULL,"BGR745",203001,"SSE05 ",1,"credit",1560.00
"US001",2,NULL,"BGR745",102001,NULL,1,"debit",17160.00
"US001",3,NULL,"WOJ691",501001,"POY04 ",1,"credit",900.00
"US001",3,NULL,"WOJ691",203001,"POY03 ",1,"credit",1800.00
"US001",3,NULL,"WOJ691",501001,"POY03 ",1,"credit",18000.00
"US001",3,NULL,"WOJ691",203001,"POY04 ",1,"credit",90.00
"US001",3,NULL,"WOJ691",102001,NULL,1,"debit",20790.00
"US001",4,NULL,"MLT599",501001,"PSE04 ",1,"credit",200.00
"US001",4,NULL,"MLT599",501001,"SSE05 ",1,"credit",3600.00
"US001",4,NULL,"MLT599",203001,"PSE03 ",1,"credit",1800.00
"US001",4,NULL,"MLT599",203001,"SSE05 ",1,"credit",360.00
"US001",4,NULL,"MLT599",501001,"PSE03 ",1,"credit",18000.00
"US001",4,NULL,"MLT599",203001,"PSE04 ",1,"credit",20.00
"US001",4,NULL,"MLT599",102001,NULL,1,"debit",23980.00
"US001",5,NULL,"AWI255",501001,"PSE04 ",1,"credit",1200.00
"US001",5,NULL,"AWI255",203001,"PSE04 ",1,"credit",120.00
"US001",5,NULL,"AWI255",203001,"SSE05 ",1,"credit",720.00
"US001",5,NULL,"AWI255",501001,"SSE05 ",1,"credit",7200.00
"US001",5,NULL,"AWI255",102001,NULL,1,"debit",9240.00
"US001",6,NULL,"JNU910",203001,"PSE04 ",1,"credit",60.00
"US001",6,NULL,"JNU910",501001,"PSE04 ",1,"credit",600.00
"US001",6,NULL,"JNU910",501001,"PSE03 ",1,"credit",7500.00
"US001",6,NULL,"JNU910",203001,"PSE03 ",1,"credit",750.00
"US001",6,NULL,"JNU910",203001,"SSE05 ",1,"credit",2520.00
"US001",6,NULL,"JNU910",501001,"SSE05 ",1,"credit",25200.00
"US001",6,NULL,"JNU910",102001,NULL,1,"debit",36630.00
"US001",7,NULL,"UEA409",501001,"SOY05 ",1,"credit",14400.00
"US001",7,NULL,"UEA409",203001,"POY03 ",1,"credit",3000.00
"US001",7,NULL,"UEA409",203001,"SOY05 ",1,"credit",1440.00
"US001",7,NULL,"UEA409",203001,"POY04 ",1,"credit",30.00
"US001",7,NULL,"UEA409",501001,"POY04 ",1,"credit",300.00
"US001",7,NULL,"UEA409",501001,"POY03 ",1,"credit",30000.00
"US001",7,NULL,"UEA409",102001,NULL,1,"debit",49170.00
"US001",8,NULL,"EEM837",203001,"PKG03 ",1,"credit",1650.00
"US001",8,NULL,"EEM837",203001,"SKG05 ",1,"credit",2160.00
"US001",8,NULL,"EEM837",501001,"PKG03 ",1,"credit",16500.00
"US001",8,NULL,"EEM837",501001,"PKG04 ",1,"credit",1400.00
"US001",8,NULL,"EEM837",203001,"PKG04 ",1,"credit",140.00
"US001",8,NULL,"EEM837",501001,"SKG05 ",1,"credit",21600.00
"US001",8,NULL,"EEM837",102001,NULL,1,"debit",43450.00
"US001",9,NULL,"YCW789",501001,"PSE03 ",1,"credit",6000.00
"US001",9,NULL,"YCW789",501001,"SSE05 ",1,"credit",7200.00
"US001",9,NULL,"YCW789",203001,"SSE05 ",1,"credit",720.00
"US001",9,NULL,"YCW789",203001,"PSE03 ",1,"credit",600.00
"US001",9,NULL,"YCW789",102001,NULL,1,"debit",14520.00
"US001",10,NULL,"RNQ912",203001,"SOY05 ",1,"credit",1080.00
"US001",10,NULL,"RNQ912",203001,"POY03 ",1,"credit",2100.00
"US001",10,NULL,"RNQ912",501001,"SOY05 ",1,"credit",10800.00
"US001",10,NULL,"RNQ912",501001,"POY03 ",1,"credit",21000.00
"US001",10,NULL,"RNQ912",102001,NULL,1,"debit",34980.00
"US001",11,NULL,"UQV907",203001,"POY03 ",1,"credit",2700.00
"US001",11,NULL,"UQV907",203001,"SOY05 ",1,"credit",600.00
"US001",11,NULL,"UQV907",501001,"SOY05 ",1,"credit",6000.00
"US001",11,NULL,"UQV907",501001,"POY03 ",1,"credit",27000.00
"US001",11,NULL,"UQV907",102001,NULL,1,"debit",36300.00
"US001",12,NULL,"EMH765",501001,"PKG04 ",1,"credit",1900.00
"US001",12,NULL,"EMH765",203001,"SKG05 ",1,"credit",240.00
"US001",12,NULL,"EMH765",501001,"SKG05 ",1,"credit",2400.00
"US001",12,NULL,"EMH765",203001,"PKG04 ",1,"credit",190.00
"US001",12,NULL,"EMH765",102001,NULL,1,"debit",4730.00
"US001",13,NULL,"RQG258",203001,"PSE04 ",1,"credit",180.00
"US001",13,NULL,"RQG258",203001,"PSE03 ",1,"credit",1350.00
"US001",13,NULL,"RQG258",501001,"PSE04 ",1,"credit",1800.00
"US001",13,NULL,"RQG258",501001,"PSE03 ",1,"credit",13500.00
"US001",13,NULL,"RQG258",102001,NULL,1,"debit",16830.00
"US001",14,NULL,"UZS780",203001,"PSE03 ",1,"credit",1350.00
"US001",14,NULL,"UZS780",501001,"PSE03 ",1,"credit",13500.00
"US001",14,NULL,"UZS780",203001,"SSE05 ",1,"credit",360.00
"US001",14,NULL,"UZS780",501001,"PSE04 ",1,"credit",2000.00
"US001",14,NULL,"UZS780",203001,"PSE04 ",1,"credit",200.00
"US001",14,NULL,"UZS780",501001,"SSE05 ",1,"credit",3600.00
"US001",14,NULL,"UZS780",102001,NULL,1,"debit",21010.00
"US001",15,NULL,"QOG731",203001,"SOY05 ",1,"credit",1200.00
"US001",15,NULL,"QOG731",501001,"SOY05 ",1,"credit",12000.00
"US001",15,NULL,"QOG731",203001,"POY03 ",1,"credit",3000.00
"US001",15,NULL,"QOG731",501001,"POY03 ",1,"credit",30000.00
"US001",15,NULL,"QOG731",102001,NULL,1,"debit",46200.00
"US001",16,NULL,"QTK822",501001,"PSP04 ",1,"credit",1300.00
"US001",16,NULL,"QTK822",501001,"PSP03 ",1,"credit",27000.00
"US001",16,NULL,"QTK822",203001,"PSP03 ",1,"credit",2700.00
"US001",16,NULL,"QTK822",203001,"SSP05 ",1,"credit",2400.00
