"company_code","sales_order_id","s_order_date","customer_id"
"US001",1,"2021-03-20","LGQ881"
"US001",2,"2021-03-09","BGR745"
"US001",3,"2021-03-24","WOJ691"
"US001",4,"2021-03-12","CAS531"
"US001",5,"2021-03-26","MLT599"
"US001",6,"2021-03-23","AWI255"
"US001",7,"2021-03-27","VHF271"
"US001",8,"2021-03-24","JNU910"
"US001",9,"2021-03-21","UEA409"
"US001",10,"2021-03-30","DRX082"
"US001",11,"2021-03-17","FDS191"
"US001",12,"2021-03-01","EEM837"
"US001",13,"2021-03-27","YLZ983"
"US001",14,"2021-03-15","YCW789"
"US001",15,"2021-03-25","RNQ912"
"US001",16,"2021-03-08","UQV907"
"US001",17,"2021-03-21","QPM770"
"US001",18,"2021-03-02","EMH765"
"US001",19,"2021-03-29","RQG258"
"US001",20,"2021-03-06","ZHL762"
"US001",21,"2021-03-04","TNB137"
"US001",22,"2021-03-12","QVP445"
"US001",23,"2021-03-16","ADF592"
"US001",24,"2021-03-28","SZM023"
"US001",25,"2021-03-08","LFW025"
"US001",26,"2021-03-13","UEM676"
"US001",27,"2021-03-18","UZS780"
"US001",28,"2021-03-04","QOG731"
"US001",29,"2021-03-19","QTK822"
"US001",30,"2021-03-08","CGI992"
"US001",31,"2021-03-01","XVR799"
"US001",32,"2021-03-24","INW258"
"US001",33,"2021-03-07","TGS563"
"US001",34,"2021-03-14","TYC145"
"US001",35,"2021-03-09","HYA214"
"US001",36,"2021-03-06","QHI416"
"US001",37,"2021-03-30","QRL307"
"US001",38,"2021-03-28","AOE480"
"US001",39,"2021-03-25","SWE874"
"US001",40,"2021-03-13","LYS987"
"US001",41,"2021-03-06","XDA094"
"US001",42,"2021-03-25","HTJ819"
"US001",43,"2021-03-26","VIL545"
"US001",44,"2021-03-03","PAU996"
"US001",45,"2021-03-05","YPY210"
"US001",46,"2021-03-20","ICV902"
"US001",47,"2021-03-20","WRQ011"
"US001",48,"2021-03-15","FTT745"
"US001",49,"2021-03-05","OXR026"
"US001",50,"2021-03-05","KIL947"
"US001",51,"2021-03-01","GBK124"
"US001",52,"2021-03-28","YJH580"
"US001",53,"2021-03-01","ATL069"
"US001",54,"2021-03-07","KQX053"
"US001",55,"2021-03-25","GXX564"
"US001",56,"2021-03-07","VWA174"
"US001",57,"2021-03-06","HLS218"
"US001",58,"2021-03-28","YGB392"
"US001",59,"2021-03-06","ZBX027"
"US001",60,"2021-03-10","MNR623"
"US001",61,"2021-03-11","ECC013"
"US001",62,"2021-03-07","BBH733"
"US001",63,"2021-03-18","UOC751"
"US001",64,"2021-03-29","GDL720"
"US001",65,"2021-03-22","YDA597"
"US001",66,"2021-03-21","LBC559"
"US001",67,"2021-03-07","VOR652"
"US001",68,"2021-03-06","LFO859"
"US001",69,"2021-03-23","JBZ045"
"US001",70,"2021-03-07","WUV638"
"US001",71,"2021-03-29","DHJ493"
"US001",72,"2021-03-13","KRM954"
"US001",73,"2021-03-10","CMG989"
"US001",74,"2021-03-01","OAF350"
"US001",75,"2021-03-12","BQT801"
"US001",76,"2021-03-14","RAQ672"
"US001",77,"2021-03-06","WYZ393"
"US001",78,"2021-03-30","NHG535"
"US001",79,"2021-03-05","FCD595"
"US001",80,"2021-03-09","AVK220"
"US001",81,"2021-03-03","TCF063"
"US001",82,"2021-03-11","BOU297"
"US001",83,"2021-03-10","FLN094"
"US001",84,"2021-03-27","FAP787"
"US001",85,"2021-03-20","FNU927"
"US001",86,"2021-03-19","IKG640"
"US001",87,"2021-03-01","KAA103"
"US001",88,"2021-03-20","DZZ382"
"US001",89,"2021-03-22","WRY029"
"US001",90,"2021-03-23","QIN423"
"US001",91,"2021-03-11","GIG643"
"US001",92,"2021-03-03","JZD267"
"US001",93,"2021-03-10","BUA683"
"US001",94,"2021-03-12","IOQ535"
"US001",95,"2021-03-27","BDY790"
"US001",96,"2021-03-10","YVF685"
"US001",97,"2021-03-16","WGU477"
"US001",98,"2021-03-23","HJO066"
"US001",99,"2021-03-11","NLB166"
"US001",100,"2021-03-06","LUO217"
"US001",101,"2021-03-16","XDY227"
"US001",102,"2021-03-16","SMP463"
"US001",103,"2021-03-23","LGU137"
"US001",104,"2021-03-06","OIJ608"
"US001",105,"2021-03-02","EZM056"
"US001",106,"2021-03-09","UKA059"
"US001",107,"2021-03-01","GFX672"
"US001",108,"2021-03-24","RNW551"
"US001",109,"2021-03-12","BTN535"
"US001",110,"2021-03-28","ISS759"
"US001",111,"2021-03-13","NUH753"
"US001",112,"2021-03-01","GNQ517"
"US001",113,"2021-03-18","MLN466"
"US001",114,"2021-03-26","WSW916"
"US001",115,"2021-03-14","NST958"
"US001",116,"2021-03-12","FSQ511"
"US001",117,"2021-03-13","SYC517"
"US001",118,"2021-03-19","BHH166"
"US001",119,"2021-03-27","SJR834"
"US001",120,"2021-03-01","BNL970"
"US001",121,"2021-03-15","MWQ267"
"US001",122,"2021-03-02","MYL649"
"US001",123,"2021-03-23","PFA586"
"US001",124,"2021-03-06","YTV175"
"US001",125,"2021-03-20","WNK284"
"US001",126,"2021-03-07","QYL125"
"US001",127,"2021-03-04","LQA660"
"US001",128,"2021-03-25","VNL516"
"US001",129,"2021-03-08","XUQ735"
"US001",130,"2021-03-30","ONG483"
"US001",131,"2021-03-27","VMJ933"
"US001",132,"2021-03-15","LCD388"
"US001",133,"2021-03-12","XLD728"
"US001",134,"2021-03-17","LQY500"
"US001",135,"2021-03-12","DKS521"
"US001",136,"2021-03-29","GQX896"
"US001",137,"2021-03-17","MKC005"
"US001",138,"2021-03-09","MXK164"
"US001",139,"2021-03-25","KIX585"
"US001",140,"2021-03-15","GWR299"
"US001",141,"2021-03-04","VVK269"
"US001",142,"2021-03-19","WMP868"
"US001",143,"2021-03-24","RFM152"
"US001",144,"2021-03-25","QIQ038"
"US001",145,"2021-03-26","LFQ518"
"US001",146,"2021-03-12","SKS048"
"US001",147,"2021-03-28","YAK536"
"US001",148,"2021-03-10","XWJ236"
"US001",149,"2021-03-02","LJZ387"
"US001",150,"2021-03-14","CYI421"
"US001",151,"2021-03-03","NCJ102"
"US001",152,"2021-03-07","YUX502"
"US001",153,"2021-03-11","XWZ665"
"US001",154,"2021-03-17","UOO512"
"US001",155,"2021-03-20","TWA142"
"US001",156,"2021-03-12","PMJ310"
"US001",157,"2021-03-30","XYN237"
"US001",158,"2021-03-05","IJB081"
"US001",159,"2021-03-11","ROG095"
"US001",160,"2021-03-09","DMD170"
"US001",161,"2021-03-30","PIJ219"
"US001",162,"2021-03-23","GIQ198"
"US001",163,"2021-03-18","FAR289"
"US001",164,"2021-03-03","ATO247"
"US001",165,"2021-03-10","VTR583"
"US001",166,"2021-03-22","LKR459"
"US001",167,"2021-03-11","KMG762"
"US001",168,"2021-03-10","IMV825"
"US001",169,"2021-03-06","FZI168"
"US001",170,"2021-03-26","NMV605"
"US001",171,"2021-03-03","SNX424"
"US001",172,"2021-03-21","ICB274"
"US001",173,"2021-03-05","EMF402"
"US001",174,"2021-03-24","YIA663"
"US001",175,"2021-03-23","FII223"
"US001",176,"2021-03-10","KFI894"
"US001",177,"2021-03-16","BKZ544"
"US001",178,"2021-03-06","GUH496"
"US001",179,"2021-03-24","YLF659"
"US001",180,"2021-03-02","XSI380"
"US001",181,"2021-03-03","QYZ595"
"US001",182,"2021-03-20","KSY140"
"US001",183,"2021-03-18","OJV584"
"US001",184,"2021-03-30","ITY455"
"US001",185,"2021-03-13","EUY832"
"US001",186,"2021-03-02","WJK504"
"US001",187,"2021-03-08","SIO899"
"US001",188,"2021-03-24","IUG818"
"US001",189,"2021-03-20","EQK431"
"US001",190,"2021-03-12","UWR265"
"US001",191,"2021-03-27","MLD537"
"US001",192,"2021-03-09","FLT886"
"US001",193,"2021-03-15","XDA706"
"US001",194,"2021-03-21","QXQ445"
"US001",195,"2021-03-14","EHQ330"
"US001",196,"2021-03-05","LPP925"
"US001",197,"2021-03-02","VKG377"
"US001",198,"2021-03-30","CGD829"
"US001",199,"2021-03-21","BAY183"
"US001",200,"2021-03-02","LTR268"
"US001",201,"2021-03-26","FIO333"
"US001",202,"2021-03-16","WGL281"
"US001",203,"2021-03-11","HKP738"
"US001",204,"2021-03-27","VKT552"
"US001",205,"2021-03-07","JEO221"
"US001",206,"2021-03-05","ODY979"
"US001",207,"2021-03-24","CKK293"
"US001",208,"2021-03-19","OGU969"
"US001",209,"2021-03-05","ONQ965"
"US001",210,"2021-03-21","HOM533"
"US001",211,"2021-03-29","GEP027"
"US001",212,"2021-03-26","XTY327"
"US001",213,"2021-03-14","WYR221"
"US001",214,"2021-03-04","DYU072"
"US001",215,"2021-03-06","VHS185"
"US001",216,"2021-03-14","BGX467"
"US001",217,"2021-03-12","ONV764"
"US001",218,"2021-03-05","CAB950"
"US001",219,"2021-03-02","LWW975"
"US001",220,"2021-03-28","SIW550"
"US001",221,"2021-03-14","PEY119"
"US001",222,"2021-03-10","JDC210"
"US001",223,"2021-03-05","QBQ138"
"US001",224,"2021-03-15","THY077"
"US001",225,"2021-03-30","QVW384"
"US001",226,"2021-03-20","NKJ396"
"US001",227,"2021-03-28","GWQ906"
"US001",228,"2021-03-06","LON281"
"US001",229,"2021-03-17","JSB910"
"US001",230,"2021-03-15","RRR232"
"US001",231,"2021-03-16","ZVI961"
"US001",232,"2021-03-23","LCI792"
"US001",233,"2021-03-24","SJC992"
"US001",234,"2021-03-11","DUQ305"
"US001",235,"2021-03-16","WSO517"
"US001",236,"2021-03-09","MWL339"
"US001",237,"2021-03-10","TDL251"
"US001",238,"2021-03-16","KQI592"
"US001",239,"2021-03-13","CXP446"
"US001",240,"2021-03-29","QVU503"
"US001",241,"2021-03-05","KVL476"
"US001",242,"2021-03-04","VAC155"
"US001",243,"2021-03-13","XRW698"
"US001",244,"2021-03-27","LTN243"
"US001",245,"2021-03-18","BOD841"
"US001",246,"2021-03-06","HWA302"
"US001",247,"2021-03-21","QVN469"
"US001",248,"2021-03-30","NZX374"
"US001",249,"2021-03-16","TKU633"
"US001",250,"2021-03-28","UOH847"
"US001",251,"2021-03-11","EVD988"
"US001",252,"2021-03-06","PAR504"
"US001",253,"2021-03-03","AVA204"
"US001",254,"2021-03-16","WEK289"
"US001",255,"2021-03-09","YKL005"
"US001",256,"2021-03-17","WOO858"
"US001",257,"2021-03-26","XCU520"
"US001",258,"2021-03-18","WUL584"
"US001",259,"2021-03-28","WDZ045"
"US001",260,"2021-03-17","FDG584"
"US001",261,"2021-03-12","LKU934"
"US001",262,"2021-03-03","DQP956"
"US001",263,"2021-03-26","RJH260"
"US001",264,"2021-03-26","BUR992"
"US001",265,"2021-03-25","LEP063"
"US001",266,"2021-03-12","RCF585"
"US001",267,"2021-03-23","BEU320"
"US001",268,"2021-03-19","ZAG540"
"US001",269,"2021-03-22","SPL989"
"US001",270,"2021-03-02","ARK858"
"US001",271,"2021-03-25","ALX658"
"US001",272,"2021-03-10","CND944"
"US001",273,"2021-03-12","UMA074"
"US001",274,"2021-03-18","AUD246"
"US001",275,"2021-03-23","XDW450"
"US001",276,"2021-03-22","GDS409"
"US001",277,"2021-03-09","QGC623"
"US001",278,"2021-03-27","RKR648"
"US001",279,"2021-03-16","JSE436"
"US001",280,"2021-03-09","VLO768"
"US001",281,"2021-03-25","BMH688"
"US001",282,"2021-03-23","WJZ678"
"US001",283,"2021-03-23","BVE633"
"US001",284,"2021-03-10","UPG239"
"US001",285,"2021-03-11","EMA977"
"US001",286,"2021-03-21","UFR272"
"US001",287,"2021-03-06","RYT410"
"US001",288,"2021-03-19","NRN108"
"US001",289,"2021-03-28","YHD881"
"US001",290,"2021-03-01","JUE481"
"US001",291,"2021-03-16","SHW255"
"US001",292,"2021-03-18","IXX377"
"US001",293,"2021-03-25","PCN265"
"US001",294,"2021-03-09","WYG369"
"US001",295,"2021-03-11","NNP525"
"US001",296,"2021-03-22","PWN979"
"US001",297,"2021-03-09","NBB530"
"US001",298,"2021-03-15","JOC956"
"US001",299,"2021-03-10","ZGC933"
"US001",300,"2021-03-27","WEH455"
"US001",301,"2021-03-17","LZZ043"
"US001",302,"2021-03-21","NRX830"
"US001",303,"2021-03-22","YIR770"
"US001",304,"2021-03-26","FIO709"
"US001",305,"2021-03-12","OBC089"
"US001",306,"2021-03-12","VVE357"
"US001",307,"2021-03-09","DNT432"
"US001",308,"2021-03-21","NYR808"
"US001",309,"2021-03-12","BAK716"
"US001",310,"2021-03-24","CGL487"
"US001",311,"2021-03-27","ZFR531"
"US001",312,"2021-03-14","NXC988"
"US001",313,"2021-03-12","IMG020"
"US001",314,"2021-03-30","HXJ243"
"US001",315,"2021-03-27","YIB128"
"US001",316,"2021-03-06","SSK812"
"US001",317,"2021-03-28","QLC836"
"US001",318,"2021-03-28","UOO779"
"US001",319,"2021-03-23","VBZ720"
"US001",320,"2021-03-15","LGP887"
"US001",321,"2021-03-12","BPU164"
"US001",322,"2021-03-11","OXZ243"
"US001",323,"2021-03-17","WEZ892"
"US001",324,"2021-03-05","AMR189"
"US001",325,"2021-03-17","SIU590"
"US001",326,"2021-03-06","BOX863"
"US001",327,"2021-03-07","RNU284"
"US001",328,"2021-03-27","RMF730"
"US001",329,"2021-03-12","NNW370"
"US001",330,"2021-03-30","GTM077"
"US001",331,"2021-03-28","FND722"
"US001",332,"2021-03-16","MRS657"
"US001",333,"2021-03-10","RSC973"
"US001",334,"2021-03-23","VVC354"
"US001",335,"2021-03-03","OLA752"
"US001",336,"2021-03-24","JZS373"
"US001",337,"2021-03-22","ELH920"
"US001",338,"2021-03-24","EHG592"
"US001",339,"2021-03-14","LPG794"
"US001",340,"2021-03-06","ZDG884"
"US001",341,"2021-03-20","VOO474"
"US001",342,"2021-03-25","QQD229"
"US001",343,"2021-03-30","GKH367"
"US001",344,"2021-03-19","BRM070"
"US001",345,"2021-03-17","DYG689"
"US001",346,"2021-03-22","HEE547"
"US001",347,"2021-03-30","QCO286"
"US001",348,"2021-03-14","RWS160"
"US001",349,"2021-03-10","GGQ607"
"US001",350,"2021-03-20","MIQ960"
"US001",351,"2021-03-18","PMW532"
"US001",352,"2021-03-25","FFZ043"
"US001",353,"2021-03-28","VVU035"
"US001",354,"2021-03-21","DWT909"
"US001",355,"2021-03-09","WKA432"
"US001",356,"2021-03-24","OAQ031"
"US001",357,"2021-03-01","MDI114"
"US001",358,"2021-03-07","LQF037"
"US001",359,"2021-03-06","NUB141"
"US001",360,"2021-03-19","DNM497"
"US001",361,"2021-03-15","KTP711"
"US001",362,"2021-03-20","FMN674"
"US001",363,"2021-03-21","EEL458"
"US001",364,"2021-03-06","RZJ823"
"US001",365,"2021-03-08","JZO001"
"US001",366,"2021-03-25","RIS681"
"US001",367,"2021-03-22","NYZ904"
"US001",368,"2021-03-06","LHA170"
"US001",369,"2021-03-21","LZK166"
"US001",370,"2021-03-23","KSD892"
"US001",371,"2021-03-02","LHJ824"
"US001",372,"2021-03-16","SBE854"
"US001",373,"2021-03-08","POM893"
"US001",374,"2021-03-06","TSQ108"
"US001",375,"2021-03-02","SPO613"
"US001",376,"2021-03-29","PIB628"
"US001",377,"2021-03-05","SSK238"
"US001",378,"2021-03-04","AKF961"
"US001",379,"2021-03-11","CSP683"
"US001",380,"2021-03-06","PEM980"
"US001",381,"2021-03-16","NTM367"
"US001",382,"2021-03-07","FJL861"
"US001",383,"2021-03-18","KKJ328"
"US001",384,"2021-03-02","CZG913"
"US001",385,"2021-03-14","DIX736"
"US001",386,"2021-03-15","WOC482"
"US001",387,"2021-03-12","BNC779"
"US001",388,"2021-03-13","ZRQ668"
"US001",389,"2021-03-22","IVX124"
"US001",390,"2021-03-20","WBJ052"
"US001",391,"2021-03-03","IDE592"
"US001",392,"2021-03-19","JML625"
"US001",393,"2021-03-07","BBG279"
"US001",394,"2021-03-08","ZBA461"
"US001",395,"2021-03-23","SGH717"
"US001",396,"2021-03-29","XRO169"
"US001",397,"2021-03-12","HFE997"
"US001",398,"2021-03-01","HUB273"
"US001",399,"2021-03-12","PJA896"
"US001",400,"2021-03-13","HZK715"
"US001",401,"2021-03-09","SQO826"
"US001",402,"2021-03-28","RVB644"
"US001",403,"2021-03-14","PDG889"
"US001",404,"2021-03-28","NFG686"
"US001",405,"2021-03-04","SZK218"
"US001",406,"2021-03-23","QSA663"
"US001",407,"2021-03-27","PYA030"
"US001",408,"2021-03-18","UUS443"
"US001",409,"2021-03-12","RNC785"
"US001",410,"2021-03-02","CZD446"
"US001",411,"2021-03-18","SBX463"
"US001",412,"2021-03-20","AEW882"
"US001",413,"2021-03-10","NJW804"
"US001",414,"2021-03-04","YSS166"
"US001",415,"2021-03-10","DHC777"
"US001",416,"2021-03-18","IKB943"
"US001",417,"2021-03-17","XFU437"
"US001",418,"2021-03-11","AOV289"
"US001",419,"2021-03-19","VOG956"
"US001",420,"2021-03-10","RIJ727"
"US001",421,"2021-03-12","MZM352"
"US001",422,"2021-03-27","WSQ837"
"US001",423,"2021-03-05","OWQ756"
"US001",424,"2021-03-14","CYR240"
"US001",425,"2021-03-14","OCW826"
"US001",426,"2021-03-27","GKO042"
"US001",427,"2021-03-19","VNV605"
"US001",428,"2021-03-21","CTU673"
"US001",429,"2021-03-18","OHN478"
"US001",430,"2021-03-12","SON312"
"US001",431,"2021-03-15","IQZ604"
"US001",432,"2021-03-05","RPZ808"
"US001",433,"2021-03-06","OPT413"
"US001",434,"2021-03-20","AVS724"
"US001",435,"2021-03-13","UII196"
"US001",436,"2021-03-19","SES546"
"US001",437,"2021-03-16","WUR034"
"US001",438,"2021-03-07","DDY566"
"US001",439,"2021-03-05","LLU022"
"US001",440,"2021-03-20","VWU381"
"US001",441,"2021-03-03","QLR012"
"US001",442,"2021-03-12","YQQ773"
"US001",443,"2021-03-27","PMW530"
"US001",444,"2021-03-29","KSE212"
"US001",445,"2021-03-22","ASM604"
"US001",446,"2021-03-01","EJT166"
"US001",447,"2021-03-13","MMX206"
"US001",448,"2021-03-04","ROQ313"
"US001",449,"2021-03-11","CGI898"
"US001",450,"2021-03-19","LCW571"
"US001",451,"2021-03-30","ZFB357"
"US001",452,"2021-03-20","ATA746"
"US001",453,"2021-03-18","FEX675"
"US001",454,"2021-03-05","QSE953"
"US001",455,"2021-03-11","JHN046"
